-5,-0.3359,0.09092
-4.75,-0.3158,0.08751
-4.5,-0.2699,0.08243
-4.25,-0.2557,0.07874
-4,-0.2467,0.07632
-3.75,-0.2145,0.07276
-3.5,-0.1457,0.06653
-3.25,-0.1346,0.06359
-3,-0.1076,0.06108
-2.75,-0.0426,0.05674
-2.5,-0.0242,0.05441
-2.25,0.0224,0.05184
-2,0.0572,0.04928
-1.75,0.1067,0.04672
-1.5,0.1433,0.0453
-1.25,0.2841,0.03397
-1,0.3047,0.03339
-0.75,0.3409,0.03247
-0.5,0.3886,0.03078
-0.25,0.4395,0.02872
0.25,0.4701,0.02855
0.5,0.5111,0.0287
0.75,0.5581,0.02879
1.25,0.6021,0.02972
1.5,0.6468,0.02961
1.75,0.6948,0.02946
2,0.6922,0.03061
2.25,0.7351,0.03028
2.5,0.7831,0.02976
3.25,0.8724,0.02974
3.5,0.9236,0.02853
3.75,0.9796,0.02716
4,0.9692,0.02873
4.25,1.0223,0.02713
4.5,1.0831,0.02533
4.75,1.0831,0.02625
5,1.1355,0.02466
5.25,1.1974,0.02276
5.5,1.2043,0.02317
5.75,1.2585,0.0216
6,1.2742,0.02171
6.25,1.3155,0.02084
6.5,1.3347,0.02083
6.75,1.3557,0.02088
7,1.3792,0.02094
7.25,1.3983,0.02119
7.5,1.4131,0.02165
7.75,1.4247,0.02229
8,1.4326,0.02309
8.25,1.4383,0.02406
8.5,1.442,0.02522
8.75,1.4454,0.0265
9,1.4498,0.02792
9.25,1.4544,0.02923
9.5,1.4608,0.03065
9.75,1.4681,0.03224
10,1.4741,0.03366
10.25,1.486,0.03529
10.5,1.4949,0.03678
10.75,1.5114,0.03856
11,1.5195,0.04007
11.25,1.5379,0.04209
11.5,1.5412,0.04364
11.75,1.5494,0.04526
12,1.5762,0.0478
12.25,1.5808,0.04968
12.5,1.5853,0.05162
12.75,1.5907,0.05338
13,1.6043,0.05657
13.25,1.5991,0.05877
13.5,1.5971,0.06144
13.75,1.5945,0.06428
14,1.5924,0.06708
14.25,1.5937,0.06972
14.5,1.5947,0.07404
14.75,1.5751,0.08031
15,1.5551,0.08456
15.25,1.5324,0.08952
15.5,1.5075,0.09507
15.75,1.4791,0.10148
16,1.4483,0.10898
16.25,1.4129,0.11777
16.5,1.374,0.12835
16.75,1.3279,0.14178
17,1.1674,0.20296
17.25,1.1682,0.21032
17.75,1.1326,0.2378
18,1.1451,0.24224
18.25,1.1706,0.24897
18.5,1.1711,0.25935
18.75,1.1594,0.26311
19,1.1414,0.26563
19.25,1.144,0.26915
19.5,1.1546,0.27285
19.75,1.1709,0.27819
20,1.1838,0.29073
