-5,-0.0587,0.04293
-4.75,-0.0091,0.03927
-4.5,0.046,0.03648
-4.25,0.1005,0.03422
-4,0.1218,0.03356
-3.75,0.1649,0.03227
-3.5,0.2143,0.03094
-3.25,0.2388,0.03051
-3,0.2789,0.02951
-2.75,0.331,0.02824
-2.5,0.4042,0.02612
-2.25,0.4152,0.02723
-2,0.4484,0.02763
-1.75,0.4874,0.02774
-1.5,0.4896,0.02884
-1.25,0.5302,0.02859
-1,0.5397,0.02932
-0.75,0.5722,0.0291
-0.5,0.6183,0.02856
-0.25,0.621,0.02938
0,0.6672,0.02874
0.25,0.7158,0.02806
0.5,0.7199,0.02905
0.75,0.7642,0.02835
1,0.7798,0.02906
1.25,0.8227,0.02837
1.5,0.869,0.02751
1.75,0.8826,0.02823
2,0.9291,0.0273
2.25,0.9407,0.02785
2.5,0.985,0.02693
2.75,1.0034,0.02734
3.25,1.0594,0.02706
3.5,1.0933,0.02648
3.75,1.1115,0.02662
4,1.1373,0.02597
4.25,1.1593,0.02585
4.5,1.216,0.02499
4.75,1.2503,0.0252
5,1.2948,0.02485
5.25,1.3362,0.02457
5.5,1.3658,0.02479
5.75,1.4006,0.02464
6,1.4384,0.02428
6.25,1.4621,0.02445
6.5,1.4863,0.02461
6.75,1.5109,0.02479
7,1.5352,0.025
7.25,1.559,0.02526
7.5,1.584,0.02551
7.75,1.6024,0.02596
8,1.6198,0.02646
8.25,1.6351,0.02702
8.5,1.649,0.02761
8.75,1.6619,0.02821
9,1.6718,0.0289
9.25,1.678,0.02974
9.5,1.681,0.03072
9.75,1.6839,0.0318
10,1.6858,0.03307
10.25,1.6849,0.0346
10.5,1.6822,0.03634
10.75,1.6786,0.03835
11,1.6714,0.04084
11.25,1.6626,0.04365
11.5,1.6536,0.04678
11.75,1.6444,0.05022
12,1.6374,0.0536
12.25,1.6362,0.05668
12.5,1.6402,0.05937
12.75,1.6473,0.06176
13,1.6543,0.06416
13.25,1.6719,0.06569
13.5,1.6849,0.06775
13.75,1.7046,0.0692
14,1.7306,0.07045
14.25,1.7322,0.07342
14.5,1.7367,0.07606
14.75,1.7613,0.07718
15,1.7531,0.08093
15.25,1.7482,0.08452
15.5,1.7486,0.08752
15.75,1.7681,0.08865
16,1.7584,0.09294
16.25,1.7494,0.09726
16.5,1.7449,0.10115
16.75,1.7491,0.10372
17,1.7685,0.10485
17.25,1.753,0.11023
17.5,1.7368,0.11597
17.75,1.7212,0.12191
18,1.7045,0.12826
18.25,1.6843,0.13543
18.5,1.6505,0.1457
