-5,-0.2286,0.03601
-4.75,-0.1848,0.03213
-4.5,-0.1394,0.02984
-4.25,-0.1088,0.02903
-4,-0.073,0.02742
-3.75,-0.0302,0.02549
-3.5,0.0186,0.0258
-3.25,0.0274,0.02731
-3,0.037,0.0293
-2.75,0.0782,0.03031
-2.5,0.0802,0.03056
-2.25,0.0926,0.03115
-2,0.1276,0.03131
-1.75,0.1789,0.03121
-1.5,0.2322,0.03071
-1.25,0.2857,0.02931
-1,0.2864,0.02947
-0.75,0.3251,0.02861
-0.5,0.3671,0.02783
-0.25,0.4101,0.02715
0,0.4544,0.02657
0.25,0.4997,0.02611
0.5,0.5154,0.02663
0.75,0.5326,0.02714
1,0.5661,0.02713
1.25,0.598,0.02703
1.5,0.6381,0.02681
1.75,0.6817,0.02652
2,0.7287,0.02624
2.25,0.746,0.02701
2.5,0.7485,0.02838
2.75,0.7676,0.02918
3,0.8008,0.02931
3.25,0.8407,0.02901
3.5,0.8777,0.02864
3.75,0.9158,0.02852
4,0.9495,0.02898
4.25,0.9303,0.03114
4.5,0.9441,0.03205
4.75,0.9812,0.03173
5,1.0304,0.03079
5.25,1.0919,0.02938
5.5,1.1176,0.02966
5.75,1.1237,0.03045
6,1.1517,0.02994
6.25,1.2076,0.02812
6.5,1.2468,0.02781
6.75,1.2575,0.02801
7,1.2909,0.02687
7.25,1.3332,0.02574
7.5,1.3451,0.02558
7.75,1.3763,0.02418
8,1.3817,0.02405
8.25,1.3992,0.02328
8.5,1.4056,0.02355
8.75,1.4008,0.02451
9,1.3879,0.02645
9.25,1.3779,0.02873
9.5,1.3684,0.03119
9.75,1.3627,0.03368
10,1.363,0.03594
10.25,1.3631,0.03861
10.5,1.3654,0.0407
10.75,1.3691,0.04341
11,1.3734,0.04553
11.25,1.3779,0.04804
11.5,1.3967,0.05096
11.75,1.4018,0.05346
12,1.3994,0.05604
12.25,1.402,0.05953
12.5,1.4033,0.06244
12.75,1.4036,0.06564
13,1.4029,0.06903
13.25,1.4006,0.07424
13.5,1.385,0.08138
13.75,1.3654,0.08767
14.25,1.329,0.09906
14.5,1.3086,0.10545
14.75,1.2882,0.11138
15.5,1.2383,0.13057
15.75,1.2219,0.13838
16,1.2015,0.1481
16.25,1.113,0.18767
16.5,1.1028,0.19864
16.75,1.0974,0.20894
17,1.0951,0.21743
17.25,1.0931,0.22583
17.5,1.0913,0.24243
17.75,1.1019,0.24927
18,1.0955,0.26402
18.25,1.097,0.2711
18.5,1.0965,0.27775
18.75,1.097,0.28429
19,1.0946,0.28911
19.25,1.0826,0.2921
19.5,1.0784,0.2982
19.75,1.0766,0.30374
20,1.0746,0.30962
