-5,-0.0627,0.07968
-4.75,-0.0173,0.07754
-4.5,-0.0637,0.08498
-4.25,-0.0395,0.08233
-4,-0.0006,0.07848
-3.5,0.0133,0.05827
-3.25,0.0726,0.05619
-3,0.1254,0.05505
-2.75,0.0264,0.04191
-2.5,0.0576,0.04163
-2.25,0.091,0.04157
-2,0.1447,0.04215
-1.75,0.162,0.04218
-1.5,0.1824,0.04115
-1.25,0.2065,0.03915
-1,0.2114,0.03703
-0.75,0.2286,0.03485
-0.5,0.2569,0.03304
-0.25,0.2811,0.03204
0,0.3043,0.03147
0.25,0.3288,0.02952
0.5,0.3576,0.02915
0.75,0.3784,0.02918
1,0.3997,0.02914
1.25,0.4254,0.02906
1.5,0.4544,0.02904
1.75,0.4802,0.02918
2,0.5038,0.02894
2.25,0.5319,0.02873
2.5,0.5628,0.02857
2.75,0.595,0.0281
3,0.6155,0.02804
3.25,0.6363,0.02806
3.5,0.661,0.02804
3.75,0.689,0.02797
4,0.7201,0.0284
4.25,0.7429,0.02875
4.5,0.766,0.02903
4.75,0.7922,0.0291
5,0.8173,0.02888
5.25,0.8435,0.02901
5.5,0.8686,0.03002
5.75,0.8883,0.03016
6,0.9107,0.03041
6.25,0.9367,0.0307
6.5,0.9652,0.03061
6.75,0.9911,0.03088
7,1.0107,0.03239
7.25,1.0271,0.03277
7.5,1.0449,0.03323
7.75,1.0681,0.03354
8,1.0909,0.03334
8.25,1.1151,0.03358
8.5,1.1352,0.03569
8.75,1.1494,0.03636
9,1.1569,0.03707
9.25,1.1644,0.0379
9.5,1.1798,0.03842
9.75,1.2066,0.03831
10,1.2314,0.03819
10.25,1.2415,0.04067
10.5,1.2348,0.04156
10.75,1.2234,0.04303
11,1.2022,0.04488
11.25,1.1714,0.04752
11.5,1.158,0.05145
11.75,1.1866,0.0521
12,1.2613,0.04936
13,0.7591,0.13258
13.25,0.8082,0.13002
13.5,0.8578,0.12611
13.75,0.8512,0.13299
14,0.8101,0.14454
14.25,0.7949,0.15196
14.5,0.7875,0.1583
14.75,0.7849,0.16412
15,0.7857,0.16996
15.25,0.7976,0.17636
15.5,0.8172,0.18187
16,0.8318,0.20121
16.25,0.8352,0.20682
16.5,0.8382,0.21178
16.75,0.8394,0.21587
17,0.802,0.21117
17.25,0.8041,0.21356
17.5,0.8161,0.21667
17.75,0.8328,0.21981
18,0.8558,0.22361
18.25,0.8873,0.23022
18.5,0.8913,0.24686
18.75,0.8922,0.25172
19,0.8905,0.25515
19.25,0.869,0.25392
19.5,0.8569,0.25472
19.75,0.864,0.25862
20,0.8737,0.26228
