-5,-0.2518,0.05602
-4.75,-0.2147,0.05183
-4.5,-0.1794,0.048
-4.25,-0.1185,0.0362
-4,-0.0767,0.03078
-3.75,-0.0393,0.02783
-3.5,0.0001,0.02508
-3.25,0.0351,0.02305
-3,0.0731,0.02113
-2.75,0.103,0.02003
-2.5,0.1373,0.01851
-2.25,0.1612,0.01714
-2,0.1827,0.01539
-1.75,0.2349,0.01412
-1.5,0.2622,0.01426
-1.25,0.2889,0.01441
-1,0.3136,0.01465
-0.75,0.3417,0.01477
-0.5,0.3654,0.01508
-0.25,0.3918,0.0153
0,0.4171,0.01557
0.25,0.4425,0.01586
0.5,0.4687,0.01611
0.75,0.4936,0.01647
1,0.5202,0.0167
1.25,0.5447,0.01712
1.5,0.5714,0.01736
1.75,0.5956,0.01781
2,0.6225,0.01806
2.25,0.6464,0.01856
2.5,0.6734,0.01879
2.75,0.6969,0.01933
3,0.7244,0.01952
3.25,0.7473,0.02008
3.5,0.7756,0.02018
3.75,0.7981,0.02075
4,0.824,0.02101
4.25,0.8498,0.02122
4.5,0.8735,0.0216
4.75,0.9013,0.02158
5,0.9264,0.02171
5.25,0.9506,0.02191
5.5,0.976,0.02193
5.75,1.0024,0.02178
6,1.0289,0.02156
6.25,1.0545,0.02134
6.5,1.0795,0.02109
6.75,1.1049,0.02071
7,1.1295,0.02022
7.25,1.1506,0.01966
7.5,1.1684,0.01926
7.75,1.1811,0.01956
8,1.1859,0.02093
8.25,1.1841,0.02318
8.5,1.1722,0.02636
8.75,1.164,0.02905
9,1.162,0.03121
9.25,1.1654,0.03317
9.5,1.1746,0.03512
9.75,1.1885,0.03698
10,1.2243,0.04001
10.25,1.2563,0.04274
10.5,1.2836,0.04607
10.75,1.3005,0.04957
11,1.3076,0.05292
11.25,1.3074,0.05611
11.5,1.3017,0.05928
11.75,1.2924,0.06268
12,1.2797,0.06643
12.25,1.2645,0.07057
12.5,1.247,0.07509
12.75,1.2276,0.0801
13,1.2072,0.08561
13.25,1.1859,0.09161
13.5,1.164,0.09815
13.75,1.142,0.10527
14,1.1218,0.11282
14.25,1.1071,0.12043
